b-day,b-month,b-year,g-day,g-month,g-year
1,11,185,26,9,2028
1,12,185,15,10,2028
1,13,185,3,11,2028
1,14,185,22,11,2028
1,15,185,11,12,2028
1,16,185,30,12,2028
1,17,185,18,1,2029
1,18,185,6,2,2029
1,1,186,20,3,2029
1,2,186,8,4,2029
1,3,186,27,4,2029
1,4,186,16,5,2029
1,5,186,4,6,2029
1,6,186,23,6,2029
1,7,186,12,7,2029
1,8,186,31,7,2029
1,9,186,19,8,2029
1,10,186,7,9,2029
1,11,186,26,9,2029
1,12,186,15,10,2029
1,13,186,3,11,2029
1,14,186,22,11,2029
1,15,186,11,12,2029
1,16,186,30,12,2029
1,17,186,18,1,2030
1,18,186,6,2,2030
1,1,187,20,3,2030
1,2,187,8,4,2030
1,3,187,27,4,2030
1,4,187,16,5,2030
1,5,187,4,6,2030
1,6,187,23,6,2030
1,7,187,12,7,2030
1,8,187,31,7,2030
1,9,187,19,8,2030
1,10,187,7,9,2030
1,11,187,26,9,2030
1,12,187,15,10,2030
1,13,187,3,11,2030
1,14,187,22,11,2030
1,15,187,11,12,2030
1,16,187,30,12,2030
1,17,187,18,1,2031
1,18,187,6,2,2031
1,1,188,21,3,2031
1,2,188,9,4,2031
1,3,188,28,4,2031
1,4,188,17,5,2031
1,5,188,5,6,2031
1,6,188,24,6,2031
1,7,188,13,7,2031
1,8,188,1,8,2031
1,9,188,20,8,2031
1,10,188,8,9,2031
1,11,188,27,9,2031
1,12,188,16,10,2031
1,13,188,4,11,2031
1,14,188,23,11,2031
1,15,188,12,12,2031
1,16,188,31,12,2031
1,17,188,19,1,2032
1,18,188,7,2,2032
1,1,189,20,3,2032
1,2,189,8,4,2032
1,3,189,27,4,2032
1,4,189,16,5,2032
1,5,189,4,6,2032
1,6,189,23,6,2032
1,7,189,12,7,2032
1,8,189,31,7,2032
1,9,189,19,8,2032
1,10,189,7,9,2032
1,11,189,26,9,2032
1,12,189,15,10,2032
1,13,189,3,11,2032
1,14,189,22,11,2032
1,15,189,11,12,2032
1,16,189,30,12,2032
1,17,189,18,1,2033
1,18,189,6,2,2033
1,1,190,20,3,2033
1,2,190,8,4,2033
1,3,190,27,4,2033
1,4,190,16,5,2033
1,5,190,4,6,2033
1,6,190,23,6,2033
1,7,190,12,7,2033
1,8,190,31,7,2033
1,9,190,19,8,2033
1,10,190,7,9,2033
1,11,190,26,9,2033
1,12,190,15,10,2033
1,13,190,3,11,2033
1,14,190,22,11,2033
1,15,190,11,12,2033
1,16,190,30,12,2033
1,17,190,18,1,2034
1,18,190,6,2,2034
1,1,191,20,3,2034
1,2,191,8,4,2034
1,3,191,27,4,2034
1,4,191,16,5,2034
1,5,191,4,6,2034
1,6,191,23,6,2034
1,7,191,12,7,2034
1,8,191,31,7,2034
1,9,191,19,8,2034
1,10,191,7,9,2034
1,11,191,26,9,2034
1,12,191,15,10,2034
1,13,191,3,11,2034
1,14,191,22,11,2034
1,15,191,11,12,2034
1,16,191,30,12,2034
1,17,191,18,1,2035
1,18,191,6,2,2035
1,1,192,21,3,2035
1,2,192,9,4,2035
1,3,192,28,4,2035
1,4,192,17,5,2035
1,5,192,5,6,2035
1,6,192,24,6,2035
1,7,192,13,7,2035
1,8,192,1,8,2035
1,9,192,20,8,2035
1,10,192,8,9,2035
1,11,192,27,9,2035
1,12,192,16,10,2035
1,13,192,4,11,2035
1,14,192,23,11,2035
1,15,192,12,12,2035
1,16,192,31,12,2035
1,17,192,19,1,2036
1,18,192,7,2,2036
1,1,193,20,3,2036
1,2,193,8,4,2036
1,3,193,27,4,2036
1,4,193,16,5,2036
1,5,193,4,6,2036
1,6,193,23,6,2036
1,7,193,12,7,2036
1,8,193,31,7,2036
1,9,193,19,8,2036
1,10,193,7,9,2036
1,11,193,26,9,2036
1,12,193,15,10,2036
1,13,193,3,11,2036
1,14,193,22,11,2036
1,15,193,11,12,2036
1,16,193,30,12,2036
1,17,193,18,1,2037
1,18,193,6,2,2037
1,1,194,20,3,2037
1,2,194,8,4,2037
1,3,194,27,4,2037
1,4,194,16,5,2037
1,5,194,4,6,2037
1,6,194,23,6,2037
1,7,194,12,7,2037
1,8,194,31,7,2037
1,9,194,19,8,2037
1,10,194,7,9,2037
1,11,194,26,9,2037
1,12,194,15,10,2037
1,13,194,3,11,2037
1,14,194,22,11,2037
1,15,194,11,12,2037
1,16,194,30,12,2037
1,17,194,18,1,2038
1,18,194,6,2,2038
1,1,195,20,3,2038
1,2,195,8,4,2038
1,3,195,27,4,2038
1,4,195,16,5,2038
1,5,195,4,6,2038
1,6,195,23,6,2038
1,7,195,12,7,2038
1,8,195,31,7,2038
1,9,195,19,8,2038
1,10,195,7,9,2038
1,11,195,26,9,2038
1,12,195,15,10,2038
1,13,195,3,11,2038
1,14,195,22,11,2038
1,15,195,11,12,2038
1,16,195,30,12,2038
1,17,195,18,1,2039
1,18,195,6,2,2039
1,1,196,21,3,2039
1,2,196,9,4,2039
1,3,196,28,4,2039
1,4,196,17,5,2039
1,5,196,5,6,2039
1,6,196,24,6,2039
1,7,196,13,7,2039
1,8,196,1,8,2039
1,9,196,20,8,2039
1,10,196,8,9,2039
1,11,196,27,9,2039
1,12,196,16,10,2039
1,13,196,4,11,2039
1,14,196,23,11,2039
1,15,196,12,12,2039
1,16,196,31,12,2039
1,17,196,19,1,2040
1,18,196,7,2,2040
1,1,197,20,3,2040
1,2,197,8,4,2040
1,3,197,27,4,2040
1,4,197,16,5,2040
1,5,197,4,6,2040
1,6,197,23,6,2040
1,7,197,12,7,2040
1,8,197,31,7,2040
1,9,197,19,8,2040
1,10,197,7,9,2040
1,11,197,26,9,2040
1,12,197,15,10,2040
1,13,197,3,11,2040
1,14,197,22,11,2040
1,15,197,11,12,2040
1,16,197,30,12,2040
1,17,197,18,1,2041
1,18,197,6,2,2041
1,1,198,20,3,2041
1,2,198,8,4,2041
1,3,198,27,4,2041
1,4,198,16,5,2041
1,5,198,4,6,2041
1,6,198,23,6,2041
1,7,198,12,7,2041
1,8,198,31,7,2041
1,9,198,19,8,2041
1,10,198,7,9,2041
1,11,198,26,9,2041
1,12,198,15,10,2041
1,13,198,3,11,2041
1,14,198,22,11,2041
1,15,198,11,12,2041
1,16,198,30,12,2041
1,17,198,18,1,2042
1,18,198,6,2,2042
1,1,199,20,3,2042
1,2,199,8,4,2042
1,3,199,27,4,2042
1,4,199,16,5,2042
1,5,199,4,6,2042
1,6,199,23,6,2042
1,7,199,12,7,2042
1,8,199,31,7,2042
1,9,199,19,8,2042
1,10,199,7,9,2042
1,11,199,26,9,2042
1,12,199,15,10,2042
1,13,199,3,11,2042
1,14,199,22,11,2042
1,15,199,11,12,2042
1,16,199,30,12,2042
1,17,199,18,1,2043
1,18,199,6,2,2043
1,1,200,21,3,2043
1,2,200,9,4,2043
1,3,200,28,4,2043
1,4,200,17,5,2043
1,5,200,5,6,2043
1,6,200,24,6,2043
1,7,200,13,7,2043
1,8,200,1,8,2043
1,9,200,20,8,2043
1,10,200,8,9,2043
1,11,200,27,9,2043
1,12,200,16,10,2043
1,13,200,4,11,2043
1,14,200,23,11,2043
1,15,200,12,12,2043
1,16,200,31,12,2043
1,17,200,19,1,2044
1,18,200,7,2,2044
1,1,201,20,3,2044
1,2,201,8,4,2044
1,3,201,27,4,2044
1,4,201,16,5,2044
1,5,201,4,6,2044
1,6,201,23,6,2044
1,7,201,12,7,2044
1,8,201,31,7,2044
1,9,201,19,8,2044
1,10,201,7,9,2044
1,11,201,26,9,2044
1,12,201,15,10,2044
1,13,201,3,11,2044
1,14,201,22,11,2044
1,15,201,11,12,2044
1,16,201,30,12,2044
1,17,201,18,1,2045
1,18,201,6,2,2045
1,1,202,20,3,2045
1,2,202,8,4,2045
1,3,202,27,4,2045
1,4,202,16,5,2045
1,5,202,4,6,2045
1,6,202,23,6,2045
1,7,202,12,7,2045
1,8,202,31,7,2045
1,9,202,19,8,2045
1,10,202,7,9,2045
1,11,202,26,9,2045
1,12,202,15,10,2045
1,13,202,3,11,2045
1,14,202,22,11,2045
1,15,202,11,12,2045
1,16,202,30,12,2045
1,17,202,18,1,2046
1,18,202,6,2,2046
1,1,203,20,3,2046
1,2,203,8,4,2046
1,3,203,27,4,2046
1,4,203,16,5,2046
1,5,203,4,6,2046
1,6,203,23,6,2046
1,7,203,12,7,2046
1,8,203,31,7,2046
1,9,203,19,8,2046
1,10,203,7,9,2046
1,11,203,26,9,2046
1,12,203,15,10,2046
1,13,203,3,11,2046
1,14,203,22,11,2046
1,15,203,11,12,2046
1,16,203,30,12,2046
1,17,203,18,1,2047
1,18,203,6,2,2047
1,1,204,21,3,2047
1,2,204,9,4,2047
1,3,204,28,4,2047
1,4,204,17,5,2047
1,5,204,5,6,2047
1,6,204,24,6,2047
1,7,204,13,7,2047
1,8,204,1,8,2047
1,9,204,20,8,2047
1,10,204,8,9,2047
1,11,204,27,9,2047
1,12,204,16,10,2047
1,13,204,4,11,2047
1,14,204,23,11,2047
1,15,204,12,12,2047
1,16,204,31,12,2047
1,17,204,19,1,2048
1,18,204,7,2,2048
1,1,205,20,3,2048
1,2,205,8,4,2048
1,3,205,27,4,2048
1,4,205,16,5,2048
1,5,205,4,6,2048
1,6,205,23,6,2048
1,7,205,12,7,2048
1,8,205,31,7,2048
1,9,205,19,8,2048
1,10,205,7,9,2048
1,11,205,26,9,2048
1,12,205,15,10,2048
1,13,205,3,11,2048
1,14,205,22,11,2048
1,15,205,11,12,2048
1,16,205,30,12,2048
1,17,205,18,1,2049
1,18,205,6,2,2049
1,1,206,20,3,2049
1,2,206,8,4,2049
1,3,206,27,4,2049
1,4,206,16,5,2049
1,5,206,4,6,2049
1,6,206,23,6,2049
1,7,206,12,7,2049
1,8,206,31,7,2049
1,9,206,19,8,2049
1,10,206,7,9,2049
1,11,206,26,9,2049
1,12,206,15,10,2049
1,13,206,3,11,2049
